Workout Date,Tag,Workout Header,Workout Full Details,Comments
"Thursday, September 13th, 2024",Missed,Workout,"A Row and bench press
1000 meter row
20 bench press
800 meter row
15 bench press
600 meter row
10bench press
400 meter row
5 bench press
200 meter row
done

try to go a little heavier each set of back squats
they dont have to be done unbroken that is some streng hwork so break them as you need to

warm up well on the bench section
workk up to a 10 rep max prior then use 70% of that 10 rep max for the workout
Results:",No comments
"Thursday, September 12th, 2024",Completed,LACTIC TESTING,"A LACTIC TEST:
3 SETS OF 
250 ROW 
15KB SWINGS 55-70lbs 
25 BURPEE
15KB SWING 
250 ROW 
REST 12 MINS walking

these are done as quickly as you can with great form!
record the 3 times!
Results: Burners. 

28kg kb (62 lbs)

4:19
4:07
4:00

","Todd Roselle: Garage at 7a
Jud Dean: That 4 min is what I am talking about!!!!!
Todd Roselle: Mental as much as it is a physical test!
Jud Dean: Yes!!! Going there!!!"
"Wednesday, September 11th, 2024",Completed,Rest day,,
"Tuesday, September 10th, 2024",Completed,Workout,"A movement prep:
movement prep part 1 
5 overhead squats
5 strict pull ups
5 overheads squats
5 dips
rest as needed adjust loads 
x 3 sets
after 3rd set
roll out stretch as needed 5 mins

movement prep part 2 
10 overhead walking lunges 
5 ctb pull ups
10 overhead walking lunges
5 ring dips
rest as needed adjust loads
x 3 sets
after 3rd set
roll out stretch as needed 5 mins

movement prep part 3 
10 shoulder taps
3 bar muscle ups
10 box jump step downs
3 bar muscle ups
rest as needed
x 3 sets
after 3rd set 
roll out stretch as needed 5 mins
Results: ✅

B Rower and push up ladder!:
row 500 meters with push ups!

you will row 500 meters in 1:58-2:00 pace
followed by 5 push ups
rest 2 mins
move into set 2
which is 500 meter row in 156-158 pace
followed by 10 push ups
rest 2 mins
move into set 3 
which is 500 meter row in 154:-156 pace
followed by 15 push ups
follow this format of lowering the pace by 2 seconds for the 500 and adding 5 push ups until you fail at the push ups unbroken or meeting the row in the time frame
Results: Made it to the 7th round
1:59.5 500 pace - 5 push ups 
1:57.5 - 10
1:55.8 - 15
1:53.6 - 20
1:51.6 - 25
1:49.6 - 30
1:47.9 - 21

Assuming unbroken push ups means that you don’t stop in the middle to catch a break. Unbroken is straight through, up and down. I didn’t stop at all, failed at 21 of 35.

","Todd Roselle: 6a garage
Jud Dean: Yes no break my man you got it right buddy nice work!!!!"
"Monday, September 9th, 2024",Completed,LP bike,"A 5 min easy ride warm up:
3 set of 10 sec hard 50 sec easy ride
3 sets of 30 sec at 80% effort try to find pace for training sets on these sets rest 2 mins 
be aware of your watts or speed
Results: ✅

B training sets:
40 sec at 90% hold this pace for the whole 40 sec it should not drop 
rest 3:30 walking between efforts
do 3 sets of this
then rest 8 mins walking 
and do it again
Results: Ooof

Avg rpm - avg watts
86 - 652
87 - 673
85 - 632
88 - 693
85 - 632
83 - 591

C 10 min easy cool down nasal breathing:

Results: ✅

","Todd Roselle: Garage 6:45a
Jud Dean: Building the engine man!!!! Awesome morning for this chat this afternoon pal"
"Sunday, September 8th, 2024",Completed,Rest day,,
"Saturday, September 7th, 2024",Completed,aerobic work,"A aerobic work:
10 min walk
Results: ✅

B Row bike work:
5 min row effort 5 out of 10
into 
10 min row emom
goal is 12 cals on the min a quick as you can
into bike work
5 min bike work effort 5 out of 10
into 
10 min emom
10 cals on the min
Results: Row interval score didn't show up on rower
All around 1:45

Bike
:34
:40
:40
:41
:41
:38
:39
:41
:40
:39
:34

C 10 min easy walk:

Results: ✅

D 20 min sauna:

Results: ✅ 15 at 150

","Todd Roselle: Garage 7a
Jud Dean: Gonna be smashing that 2k row"
"Friday, September 6th, 2024",Completed,constant variance test,"A set 1:
15 wallball
15kbs 
15 box jump step down
15 hang pwr snatch 75/55
15 burpee
60 doubles
Results: Not sure what these are supposed to look like but an interesting result given the differences. 

4:24
1 miss

B set 2:
15 hang pwr snatch 75/55
15 burpee
60 doubles 
15 box jump step down
15 kbs 
15 wallball shots
Results: 4:09 (no du misses

C set 3:
15 burpee
15 hang pwr snatch 75/55
60 doubles 
15 box jump step down
15kbs
15 wallball shots
Results: 446
5 misses

D set 4:
60 double unders
15 wallball shots
15 hang pwr snatch 75/55
15 burpee
15 box jump step down
15 kbs
Results: 446
3 misses

E set 5:
15 box jump step down
60 double unders
15 kbs
15 hang pwr snatch 75/55
15wallball shots
15 burpee
Results: 423
1 miss

","Todd Roselle: 6a garage
Jud Dean: Nice work getting some good baselines in for you to redo buddy nice work all testing the 4-7 min time frame that is the most linked with your rowing goal for getting after it!!! Nice interval day even better than 1:1 work to rest well done"
"Thursday, September 5th, 2024",Completed,Workout,"A 85 % of 1 rm clean 8 min amrap:
as man reps as possible in 8 mins 
SPEND 15 MINS FINDING A 1 RM PWR CLEAN THEN MOVE INTO THE 8 MIN AMRAP AFER YOU HAVE RESTED HOWEVER LONG YOU NEED.
SO THE WORKOUT WILL HAVE 2 SCORES
PART1 YOU MAX PWR CLEAN
PART 2 85 %OF YOUR1 RM CLEAN DO AMRAP IN 8 MINS!
Results: 265 power clean

225 for the 8 min Amrap
26 reps

B Row repeats full go 500 meters:
500 meter row 
rest 90 sec
500 meter row 
both are full go sets redline go for best score see how you recover dont game it
Results: Full go

1:43.1
1:43.9

","Todd Roselle: Garage morning
Jud Dean: Now that is an awesome day! Well done almost 30 on the clean! Great sub 145 on the rows! Yeah buddy!!!"
"Wednesday, September 4th, 2024",Completed,Rest day,,
